elbow_collarbone_magnitude,elbow_paw_magnitude,hip_iliac_crest_magnitude,hip_knee_magnitude,knee_hip_magnitude,knee_ankle_magnitude,ankle_knee_magnitude,ankle_mtp_magnitude
90.9,74.6,81.2,53.5,53.5,117.3,117.3,49.4
89.4,101.5,82.7,54.4,54.4,120.2,120.2,52.3
95.9,99.1,77.2,59.6,59.6,119.2,119.2,55.0
99.7,92.5,74.9,60.4,60.4,120.3,120.3,61.8
95.4,97.1,73.9,62.1,62.1,121.3,121.3,59.4
91.0,95.0,73.6,63.5,63.5,123.6,123.6,61.6
87.9,87.9,71.8,63.6,63.6,123.3,123.3,65.4
87.0,93.8,70.7,65.1,65.1,123.3,123.3,64.2
90.5,85.7,68.9,68.1,68.1,121.4,121.4,68.1
91.6,82.9,69.2,65.4,65.4,122.1,122.1,68.5
91.1,86.3,69.5,64.8,64.8,123.2,123.2,69.3
92.7,84.3,69.4,66.1,66.1,122.3,122.3,70.0
92.7,85.7,66.2,67.4,67.4,122.3,122.3,72.1
82.6,91.6,66.7,69.1,69.1,119.7,119.7,74.1
82.9,85.1,68.7,68.6,68.6,122.0,122.0,77.3
83.3,107.3,70.2,67.6,67.6,124.1,124.1,78.5
86.6,99.7,72.6,66.2,66.2,126.2,126.2,82.2
91.0,100.1,75.0,66.2,66.2,123.7,123.7,81.2
93.3,101.9,78.6,65.0,65.0,126.7,126.7,76.5
91.5,99.5,76.3,67.2,67.2,127.4,127.4,76.4
88.7,96.9,76.1,65.4,65.4,129.7,129.7,75.5
87.4,91.5,80.0,64.6,64.6,129.8,129.8,75.2
82.9,95.3,81.4,65.5,65.5,125.8,125.8,76.6
83.9,92.3,80.8,62.8,62.8,123.1,123.1,69.9
82.8,88.5,82.3,56.8,56.8,119.0,119.0,64.6
84.5,85.2,83.3,55.0,55.0,117.1,117.1,70.0
85.0,81.9,88.4,52.2,52.2,116.6,116.6,68.4
85.2,84.1,89.6,50.3,50.3,120.2,120.2,70.4
84.4,86.3,85.2,46.5,46.5,121.2,121.2,49.7
83.2,88.5,82.8,49.0,49.0,117.3,117.3,46.1
82.3,90.7,79.4,50.4,50.4,113.5,113.5,46.9
80.3,93.5,74.1,51.6,51.6,110.8,110.8,52.7
80.8,93.9,70.5,48.7,48.7,113.4,113.4,60.1
80.0,76.0,66.7,46.7,46.7,85.2,85.2,55.3
76.2,88.3,65.1,49.2,49.2,72.6,72.6,68.9
82.3,97.8,65.8,50.1,50.1,67.5,67.5,66.1
84.0,100.5,66.3,49.0,49.0,70.5,70.5,58.2
85.5,105.1,64.0,49.6,49.6,65.8,65.8,47.8
86.1,98.9,65.3,50.0,50.0,66.4,66.4,44.5
86.4,96.2,65.3,49.6,49.6,79.7,79.7,51.6
85.5,97.3,62.1,48.2,48.2,88.5,88.5,51.1
81.2,89.8,62.8,47.6,47.6,93.2,93.2,47.7
83.8,86.4,64.2,47.7,47.7,102.9,102.9,50.4
84.8,85.6,73.3,41.8,41.8,107.0,107.0,48.0
87.6,83.8,64.6,44.3,44.3,108.3,108.3,46.8
87.9,78.6,62.5,44.2,44.2,107.3,107.3,40.7
86.4,79.3,62.4,41.9,41.9,109.3,109.3,44.7
83.5,82.6,58.2,41.5,41.5,106.8,106.8,41.1
81.8,86.0,60.7,41.6,41.6,107.2,107.2,40.2
80.6,85.0,61.6,42.2,42.2,108.4,108.4,37.9
81.2,76.3,62.6,44.0,44.0,112.3,112.3,37.8
80.3,84.7,69.4,45.0,45.0,113.9,113.9,37.9
83.9,95.2,72.9,45.5,45.5,116.2,116.2,37.7
83.2,100.4,74.5,43.9,43.9,118.7,118.7,39.3
85.6,101.3,76.5,48.6,48.6,119.3,119.3,44.5
85.8,97.9,77.7,48.9,48.9,121.6,121.6,46.5
87.0,96.7,77.1,51.1,51.1,121.8,121.8,45.3
87.7,92.5,76.6,53.2,53.2,120.6,120.6,48.8
88.0,92.8,77.3,54.0,54.0,120.2,120.2,47.4
82.9,92.4,75.8,56.1,56.1,119.8,119.8,50.7
79.8,87.3,77.4,53.1,53.1,120.4,120.4,51.4
83.2,86.2,76.7,54.6,54.6,120.7,120.7,50.8
83.8,84.2,75.6,56.0,56.0,119.2,119.2,55.0
85.4,79.7,74.8,58.9,58.9,118.7,118.7,60.0
87.8,74.7,74.0,59.8,59.8,117.3,117.3,65.6
86.9,75.1,74.1,60.9,60.9,118.6,118.6,65.6
84.0,78.5,73.0,62.6,62.6,120.7,120.7,68.9
79.0,86.0,74.1,62.7,62.7,123.5,123.5,67.5
78.6,77.6,74.7,65.2,65.2,124.1,124.1,68.1
79.3,71.0,76.0,65.9,65.9,121.4,121.4,71.4
79.6,80.1,76.1,68.2,68.2,123.1,123.1,69.5
84.8,91.3,75.6,68.9,68.9,123.6,123.6,69.5
85.5,95.7,77.4,66.8,66.8,127.3,127.3,62.7
85.6,97.6,79.0,62.7,62.7,124.2,124.2,63.0
85.4,99.3,80.3,55.6,55.6,127.2,127.2,66.8
87.8,93.6,83.0,53.7,53.7,127.7,127.7,55.5
85.9,92.1,88.1,52.8,52.8,129.1,129.1,48.0
85.6,91.7,83.8,49.7,49.7,119.3,119.3,49.4
85.1,90.0,80.7,48.7,48.7,118.1,118.1,47.1
81.9,85.1,64.2,50.4,50.4,108.7,108.7,56.5
81.5,88.5,57.1,47.0,47.0,92.9,92.9,57.2
82.1,83.4,53.8,44.6,44.6,73.3,73.3,48.7
84.2,78.1,52.5,46.6,46.6,76.4,76.4,49.6
85.9,77.6,52.3,46.1,46.1,74.2,74.2,49.6
87.3,74.5,50.5,46.0,46.0,72.6,72.6,51.1
86.8,76.7,48.1,46.8,46.8,69.6,69.6,48.9
84.3,79.9,47.6,47.2,47.2,73.2,73.2,49.6
79.6,84.7,50.7,46.1,46.1,79.5,79.5,54.2
80.4,73.3,52.4,45.6,45.6,82.3,82.3,52.9
79.1,83.5,53.7,44.0,44.0,85.1,85.1,48.6
82.8,87.1,53.9,40.6,40.6,93.9,93.9,45.5
84.9,92.7,54.7,41.7,41.7,98.1,98.1,39.9
87.1,100.6,55.1,40.7,40.7,101.4,101.4,40.5
88.8,98.3,56.2,42.2,42.2,104.4,104.4,40.6
87.2,92.9,65.5,41.3,41.3,110.0,110.0,39.8
83.6,91.6,70.9,40.7,40.7,113.2,113.2,45.0
83.4,89.8,77.3,44.5,44.5,114.4,114.4,39.9
84.1,89.9,65.0,46.8,46.8,103.6,103.6,43.0
82.6,86.1,58.4,42.3,42.3,99.6,99.6,41.2
83.6,87.6,55.1,42.3,42.3,89.3,89.3,45.8
83.6,83.5,50.7,41.6,41.6,85.1,85.1,43.6
82.9,83.7,48.9,42.4,42.4,78.4,78.4,42.2
83.6,78.7,49.4,42.9,42.9,79.7,79.7,41.2
84.7,75.9,49.0,42.2,42.2,80.8,80.8,41.2
85.7,77.7,48.9,42.8,42.8,82.5,82.5,42.5
83.0,81.8,47.9,43.0,43.0,82.0,82.0,41.8
79.4,82.7,48.4,42.5,42.5,83.7,83.7,44.0
81.2,69.3,54.0,42.0,42.0,86.6,86.6,40.4
78.7,67.8,53.6,42.9,42.9,89.0,89.0,41.4
82.2,415.0,56.8,42.2,42.2,90.7,90.7,36.8
82.7,94.9,58.4,46.9,46.9,100.3,100.3,37.5
86.9,95.7,61.2,46.8,46.8,104.7,104.7,39.4
85.6,102.2,62.3,46.1,46.1,107.9,107.9,36.5
83.1,95.3,63.3,43.5,43.5,112.3,112.3,39.1
85.5,93.1,65.4,44.3,44.3,113.2,113.2,38.4
84.8,91.9,66.6,42.3,42.3,115.6,115.6,38.7
80.1,88.6,65.3,43.1,43.1,118.3,118.3,36.2
78.5,84.7,66.3,43.3,43.3,117.7,117.7,35.5
80.4,87.3,67.5,45.4,45.4,113.0,113.0,36.3
84.4,83.3,66.2,45.4,45.4,112.7,112.7,38.8
88.5,78.2,66.7,44.2,44.2,112.5,112.5,38.4
90.4,75.9,66.1,46.1,46.1,110.0,110.0,38.9
85.8,77.6,67.0,51.1,51.1,108.6,108.6,41.6
84.0,78.3,68.1,47.7,47.7,109.4,109.4,44.1
81.5,81.4,69.4,50.0,50.0,111.6,111.6,45.4
80.3,75.8,69.5,50.8,50.8,115.2,115.2,48.9
78.2,68.8,69.0,52.6,52.6,113.1,113.1,47.0
80.8,78.7,66.5,56.2,56.2,113.5,113.5,52.6
84.7,90.4,66.3,57.9,57.9,115.6,115.6,51.3
85.2,99.5,66.7,59.1,59.1,117.0,117.0,56.2
84.7,107.1,68.3,59.1,59.1,117.6,117.6,55.9
86.5,100.5,69.2,58.9,58.9,120.8,120.8,58.8
84.7,95.9,68.7,61.0,61.0,121.3,121.3,59.1
83.8,97.2,68.4,63.2,63.2,123.2,123.2,60.3
85.9,94.4,67.0,65.2,65.2,122.7,122.7,65.4
84.6,93.5,65.7,67.8,67.8,123.2,123.2,67.7
80.6,92.8,65.3,69.1,69.1,123.7,123.7,69.1
84.1,86.5,64.8,70.7,70.7,121.4,121.4,69.3
84.2,84.5,66.1,69.9,69.9,120.6,120.6,70.6
85.6,82.1,65.1,70.1,70.1,117.9,117.9,71.0
85.4,79.2,65.5,69.2,69.2,117.8,117.8,70.9
82.9,79.4,67.6,65.2,65.2,116.3,116.3,69.5
84.3,78.1,68.2,58.8,58.8,115.4,115.4,63.4
84.8,82.6,73.5,52.4,52.4,118.4,118.4,62.0
78.6,83.7,76.6,51.4,51.4,110.8,110.8,49.7
78.0,76.2,72.0,50.3,50.3,108.2,108.2,42.6
82.1,90.5,64.6,51.5,51.5,105.1,105.1,37.0
84.6,98.4,61.7,52.1,52.1,101.4,101.4,45.2
86.2,108.3,60.4,47.2,47.2,95.9,95.9,47.1
87.0,107.4,57.6,46.4,46.4,84.5,84.5,42.6
87.6,98.7,56.6,45.8,45.8,82.2,82.2,46.1
86.6,95.5,55.7,46.7,46.7,79.4,79.4,41.7
84.4,96.0,56.5,45.9,45.9,79.3,79.3,42.2
81.3,95.7,58.2,46.7,46.7,83.3,83.3,46.5
82.3,90.8,62.6,45.9,45.9,89.1,89.1,41.0
81.7,92.2,65.9,45.9,45.9,98.9,98.9,47.5
84.6,86.6,64.5,43.3,43.3,101.4,101.4,42.7
84.6,86.5,63.5,44.2,44.2,104.1,104.1,41.5
91.3,83.1,57.8,47.3,47.3,104.7,104.7,38.5
94.0,81.2,56.7,45.5,45.5,107.4,107.4,38.9
91.1,83.4,56.1,45.1,45.1,106.2,106.2,40.6
87.9,84.7,56.2,43.0,43.0,106.8,106.8,33.0
81.1,87.5,57.2,44.1,44.1,106.5,106.5,35.8
85.0,92.3,58.5,44.4,44.4,107.7,107.7,33.3
84.9,102.8,60.7,45.4,45.4,112.0,112.0,35.9
90.5,109.3,67.0,46.7,46.7,116.1,116.1,37.5
92.8,103.4,70.0,50.8,50.8,117.5,117.5,40.4
90.2,98.4,73.0,52.4,52.4,119.7,119.7,41.1
89.8,97.6,75.6,51.3,51.3,118.0,118.0,45.2
85.8,95.7,76.1,49.7,49.7,119.4,119.4,45.2
83.7,92.1,71.9,57.2,57.2,122.4,122.4,48.3
82.6,90.7,72.3,55.3,55.3,122.0,122.0,52.5
83.0,89.7,72.3,56.0,56.0,120.8,120.8,50.2
84.1,85.3,71.0,58.0,58.0,121.5,121.5,53.3
85.0,85.8,71.1,58.8,58.8,120.7,120.7,51.0
83.2,87.1,68.7,61.0,61.0,120.9,120.9,53.0
86.0,81.9,68.0,62.7,62.7,120.9,120.9,55.3
85.8,81.8,68.7,63.1,63.1,122.5,122.5,56.3
84.5,84.6,68.9,61.0,61.0,120.1,120.1,62.0
82.7,84.2,67.7,63.3,63.3,124.0,124.0,59.9
82.4,84.8,69.1,64.8,64.8,125.6,125.6,66.7
81.1,86.0,70.8,65.1,65.1,129.9,129.9,64.6
79.0,86.0,77.0,64.7,64.7,129.8,129.8,65.2
80.1,79.4,78.7,64.9,64.9,127.2,127.2,69.4
85.7,180.7,82.7,65.0,65.0,131.9,131.9,69.8
88.0,110.2,80.2,67.1,67.1,131.5,131.5,70.3
89.9,106.7,79.2,67.7,67.7,130.8,130.8,71.7
88.9,98.1,77.6,71.8,71.8,128.8,128.8,70.2
87.7,95.3,75.6,73.2,73.2,127.2,127.2,71.3
85.4,93.3,72.2,70.6,70.6,128.1,128.1,71.9
83.3,90.7,69.9,69.6,69.6,127.9,127.9,72.6
82.2,93.3,71.7,69.5,69.5,128.1,128.1,71.5
80.8,89.8,70.1,75.0,75.0,120.6,120.6,69.0
83.1,86.9,67.1,72.9,72.9,120.3,120.3,68.0
83.8,85.7,66.0,74.7,74.7,116.8,116.8,68.7
86.3,86.5,66.1,74.3,74.3,116.0,116.0,68.1
85.4,84.6,66.0,73.4,73.4,116.1,116.1,67.4
83.1,88.4,65.9,72.3,72.3,116.9,116.9,67.9
81.6,88.1,66.6,72.7,72.7,117.2,117.2,68.9
80.4,85.7,66.8,73.1,73.1,116.2,116.2,68.5
80.3,83.0,68.4,71.9,71.9,115.7,115.7,66.5
83.9,98.2,72.3,66.9,66.9,121.2,121.2,62.5
83.8,106.7,76.1,59.1,59.1,120.9,120.9,66.1
89.3,110.2,76.3,55.7,55.7,126.2,126.2,67.9
94.2,111.3,75.5,56.5,56.5,129.1,129.1,66.3
92.3,103.8,78.0,54.4,54.4,129.8,129.8,51.6
93.0,102.7,84.5,52.2,52.2,126.9,126.9,54.6
90.4,98.2,77.8,53.1,53.1,113.1,113.1,44.0
86.7,97.7,69.2,52.0,52.0,108.7,108.7,50.0
85.1,98.3,61.7,45.7,45.7,91.9,91.9,49.5
82.7,95.6,55.0,46.6,46.6,82.8,82.8,52.6
83.7,91.3,53.3,48.8,48.8,80.1,80.1,62.3
82.0,91.5,52.7,48.5,48.5,73.0,73.0,57.5
83.9,89.9,52.8,48.5,48.5,78.2,78.2,65.6
85.2,87.3,49.4,50.0,50.0,77.6,77.6,50.3
84.8,87.8,51.4,48.7,48.7,79.3,79.3,51.1
84.6,86.9,50.7,48.4,48.4,79.8,79.8,54.5
84.1,86.6,50.0,47.4,47.4,86.0,86.0,54.1
82.8,88.4,52.0,45.3,45.3,91.8,91.8,53.1
78.5,88.4,52.6,43.8,43.8,94.8,94.8,46.5
80.4,80.8,53.9,42.1,42.1,99.9,99.9,46.4
81.7,96.6,55.6,39.9,39.9,103.7,103.7,43.3
85.5,105.5,56.1,39.4,39.4,106.2,106.2,42.7
94.3,106.2,58.1,38.2,38.2,109.6,109.6,43.3
90.4,107.4,59.3,39.8,39.8,110.1,110.1,40.3
89.7,102.4,59.3,41.3,41.3,111.4,111.4,39.4
89.3,97.1,64.6,43.9,43.9,112.7,112.7,37.3
87.0,97.4,69.3,42.7,42.7,116.4,116.4,39.6
87.5,95.4,72.0,44.9,44.9,121.3,121.3,41.4
87.1,91.6,72.4,44.3,44.3,118.9,118.9,37.9
84.4,92.1,71.6,45.8,45.8,117.3,117.3,40.8
87.4,89.4,70.1,44.9,44.9,117.8,117.8,36.9
84.5,87.6,69.1,47.3,47.3,113.6,113.6,39.3
85.3,87.4,66.7,46.9,46.9,106.0,106.0,40.7
88.5,87.1,65.3,50.2,50.2,106.7,106.7,43.5
89.8,81.7,64.6,53.1,53.1,103.0,103.0,42.2
91.1,79.7,66.7,53.0,53.0,105.9,105.9,45.2
88.3,79.8,67.6,56.0,56.0,106.4,106.4,47.3
83.4,85.9,68.4,58.9,58.9,108.8,108.8,51.5
86.4,77.8,69.5,59.2,59.2,110.9,110.9,54.4
86.9,86.0,69.4,56.2,56.2,111.8,111.8,61.8
92.0,90.0,75.5,54.6,54.6,115.2,115.2,62.2
92.5,96.5,75.9,56.3,56.3,121.0,121.0,63.9
94.4,94.2,76.5,56.8,56.8,122.8,122.8,67.5
95.0,97.0,78.1,58.3,58.3,126.1,126.1,71.6
90.5,96.6,77.9,58.5,58.5,126.9,126.9,72.9
91.0,95.1,78.2,58.9,58.9,126.3,126.3,74.4
96.3,88.2,78.6,58.8,58.8,126.6,126.6,72.4
97.1,88.9,75.5,62.2,62.2,125.6,125.6,74.0
96.9,85.0,72.1,65.3,65.3,126.1,126.1,73.0
97.6,85.0,70.0,67.0,67.0,120.9,120.9,74.7
98.3,78.8,69.9,67.3,67.3,122.2,122.2,71.8
99.8,80.8,69.6,67.4,67.4,121.7,121.7,70.9
96.4,79.0,70.0,68.4,68.4,121.6,121.6,67.0
98.7,78.1,70.4,66.1,66.1,120.9,120.9,67.0
99.2,75.5,71.8,63.8,63.8,119.4,119.4,68.6
98.1,75.6,75.8,58.1,58.1,118.0,118.0,64.3
93.1,81.5,76.1,54.6,54.6,117.4,117.4,65.3
93.3,74.6,74.9,51.7,51.7,121.9,121.9,61.1
95.8,99.4,74.8,53.3,53.3,124.9,124.9,56.5
99.5,102.3,79.8,52.3,52.3,123.4,123.4,50.9
107.4,100.7,78.9,50.7,50.7,114.2,114.2,42.7
109.1,104.2,71.8,53.0,53.0,108.8,108.8,47.3
110.4,101.3,63.7,47.4,47.4,98.8,98.8,51.7
105.4,96.0,56.8,46.5,46.5,93.6,93.6,50.3
101.5,93.9,53.9,45.2,45.2,79.7,79.7,44.7
99.1,93.6,52.8,45.4,45.4,80.3,80.3,45.0
103.9,92.6,50.3,43.7,43.7,80.2,80.2,39.1
101.0,88.6,46.9,47.2,47.2,77.6,77.6,38.3
99.7,91.9,47.9,47.4,47.4,74.9,74.9,39.1
93.7,89.0,49.4,46.3,46.3,76.3,76.3,41.9
99.2,81.9,50.9,46.3,46.3,81.2,81.2,47.0
98.2,79.0,52.6,46.3,46.3,87.1,87.1,53.1
97.8,76.8,54.3,45.8,45.8,92.1,92.1,47.8
95.4,78.0,57.2,44.4,44.4,99.6,99.6,51.6
98.2,78.0,61.4,44.5,44.5,105.1,105.1,44.6
92.7,82.3,69.7,43.9,43.9,106.0,106.0,45.4
91.7,79.7,68.7,48.6,48.6,108.5,108.5,39.7
90.7,86.4,73.2,48.1,48.1,109.9,109.9,38.0
99.5,89.7,74.5,46.7,46.7,113.4,113.4,41.2
99.3,89.4,73.6,48.1,48.1,120.4,120.4,41.7
99.9,89.3,74.8,46.0,46.0,122.4,122.4,42.9
96.3,88.3,77.9,48.1,48.1,117.2,117.2,45.6
96.0,84.4,76.0,48.2,48.2,116.7,116.7,43.2
95.5,81.4,74.9,47.1,47.1,120.0,120.0,44.6
95.4,83.9,74.7,49.7,49.7,121.4,121.4,52.0
93.3,83.1,75.2,48.6,48.6,118.3,118.3,50.3
92.8,80.3,74.5,51.3,51.3,118.8,118.8,53.6
93.0,80.1,73.3,51.9,51.9,120.3,120.3,52.1
89.9,77.6,70.7,53.8,53.8,120.3,120.3,59.0
93.4,75.1,69.6,57.6,57.6,120.0,120.0,60.3
94.0,73.0,67.8,59.5,59.5,121.7,121.7,57.5
93.1,71.0,67.7,61.2,61.2,120.9,120.9,58.2
93.6,67.4,67.7,61.2,61.2,117.3,117.3,59.8
90.5,69.6,68.1,61.3,61.3,116.5,116.5,60.7
88.6,70.3,67.2,63.9,63.9,117.2,117.2,59.7
88.3,64.3,67.3,64.2,64.2,123.1,123.1,59.7
86.8,71.5,68.7,66.3,66.3,123.9,123.9,61.2
88.6,89.1,70.1,66.6,66.6,123.5,123.5,67.4
88.1,96.0,71.2,67.7,67.7,123.4,123.4,68.2
91.2,95.9,70.7,68.5,68.5,124.4,124.4,68.4
92.6,91.4,70.9,68.6,68.6,122.6,122.6,68.1
91.3,88.5,70.5,70.3,70.3,121.2,121.2,68.9
90.8,87.7,69.7,71.7,71.7,119.2,119.2,69.7
90.3,85.7,68.7,72.2,72.2,119.4,119.4,68.9
90.4,85.8,67.4,74.4,74.4,118.7,118.7,71.9
88.9,87.9,67.0,75.2,75.2,118.7,118.7,71.7
89.1,85.8,66.8,71.7,71.7,120.4,120.4,71.2
86.3,80.7,66.1,73.5,73.5,119.8,119.8,70.7
87.6,82.2,64.8,72.5,72.5,118.0,118.0,70.2
89.0,80.0,64.2,72.2,72.2,117.7,117.7,69.8
90.5,76.9,63.7,71.7,71.7,116.9,116.9,70.9
91.6,74.2,64.0,71.1,71.1,118.8,118.8,68.1
91.5,74.1,66.6,67.6,67.6,115.9,115.9,67.6
88.7,78.4,68.1,65.2,65.2,112.5,112.5,66.9
84.5,83.7,68.9,62.6,62.6,113.8,113.8,62.5
84.2,75.1,70.3,59.0,59.0,113.4,113.4,59.8
82.2,79.9,75.1,55.2,55.2,118.6,118.6,64.6
86.0,87.9,76.3,51.7,51.7,124.1,124.1,69.4
86.7,96.9,76.5,54.3,54.3,127.6,127.6,63.3
91.7,101.8,80.4,53.7,53.7,120.7,120.7,53.8
90.3,97.8,79.8,54.1,54.1,115.5,115.5,46.0
92.2,91.6,72.2,53.5,53.5,108.9,108.9,46.4
90.0,93.7,66.6,52.9,52.9,104.7,104.7,53.0
89.8,90.1,65.3,47.2,47.2,96.2,96.2,50.0
90.2,92.7,56.2,47.0,47.0,86.1,86.1,46.8
84.4,90.4,51.1,46.4,46.4,76.8,76.8,42.0
90.2,86.6,48.3,49.8,49.8,71.2,71.2,47.3
85.3,88.1,49.7,50.5,50.5,73.8,73.8,49.8
88.2,80.4,49.8,49.0,49.0,72.3,72.3,51.0
88.5,83.8,49.4,48.6,48.6,73.0,73.0,50.5
92.6,79.9,50.3,49.2,49.2,77.2,77.2,49.5
92.4,76.3,52.4,47.8,47.8,77.2,77.2,49.0
88.9,75.4,54.1,46.2,46.2,83.6,83.6,49.1
87.6,75.8,56.1,44.3,44.3,91.3,91.3,52.4
87.8,78.8,56.6,43.7,43.7,94.0,94.0,45.9
87.1,68.4,57.2,43.3,43.3,100.7,100.7,48.1
85.3,71.8,58.6,43.7,43.7,105.0,105.0,44.6
84.1,91.0,61.6,41.9,41.9,108.7,108.7,44.9
89.6,95.3,63.8,44.4,44.4,111.5,111.5,43.7
91.1,101.4,70.4,46.2,46.2,110.5,110.5,37.4
87.9,102.5,72.3,47.0,47.0,113.1,113.1,39.8
90.7,93.1,76.6,48.2,48.2,118.7,118.7,41.0
91.9,88.7,78.6,47.6,47.6,121.0,121.0,41.5
89.1,86.7,77.8,48.5,48.5,120.9,120.9,40.4
88.2,88.2,75.8,47.4,47.4,120.4,120.4,38.5
92.3,87.0,75.3,44.1,44.1,119.4,119.4,42.3
90.2,84.5,74.0,47.5,47.5,117.4,117.4,45.0
87.2,88.8,71.5,48.9,48.9,117.1,117.1,48.3
88.1,82.0,70.8,50.5,50.5,115.5,115.5,46.9
89.0,79.2,67.0,53.2,53.2,111.3,111.3,49.9
91.7,80.1,66.7,51.2,51.2,108.5,108.5,51.3
92.8,75.0,65.6,53.1,53.1,106.6,106.6,52.4
90.2,73.5,64.9,53.5,53.5,109.9,109.9,56.0
86.5,77.4,64.6,56.7,56.7,108.4,108.4,55.7
84.5,77.1,64.4,61.1,61.1,108.5,108.5,58.7
83.2,71.9,65.0,63.2,63.2,112.7,112.7,62.6
83.6,78.7,65.1,64.3,64.3,113.3,113.3,62.5
88.4,83.4,66.9,66.2,66.2,118.8,118.8,65.1
90.1,97.9,68.0,66.8,66.8,119.8,119.8,68.5
92.6,98.2,70.0,68.5,68.5,119.5,119.5,71.1
91.7,96.2,70.0,69.6,69.6,121.5,121.5,73.2
91.5,92.6,69.4,73.7,73.7,118.2,118.2,71.9
90.8,89.8,70.1,72.8,72.8,119.2,119.2,72.4
92.3,84.2,70.2,74.0,74.0,118.4,118.4,73.1
90.2,86.9,70.3,76.1,76.1,117.3,117.3,74.2
92.4,82.7,69.0,74.0,74.0,119.4,119.4,74.7
92.1,81.8,71.2,73.3,73.3,119.3,119.3,74.1
